grant_title,id,organization,total_amount,group,start_year,pays,pays1,real,presse,pressesimp,spect,spectsimp
Fast & Furious 5,16,Aventure - Action,2517576,5,3A,Amerique du Nord,Etats-Unis,Olivier Van Hoofstadt,3,3,"2,9",2
Priest (2011),169,Science Fiction,221719,5,5A,Amerique du Nord,Etats-Unis,Scott Charles Stewart,3,3,"2,9",2
Gianni et les femmes,231,Comédie dramatique,100121,5,1A,Europe,Italie,Gianni Di Gregorio,"3,3",3,"2,9",2
Pater,204,Comédie dramatique,145568,3,1A,France,France,Alain Cavalier,"4,3",4,"2,9",2
Le Sang des Templiers,218,Aventure - Action,109685,5,3A,Amerique du Nord,Etats-Unis,Jonathan English,_,_,"2,9",2
Happy New Year,101,Romance,540798,5,1A,Amerique du Nord,Etats-Unis,Garry Marshall,"1,5",1,3,3
Les Immortels,125,Fantasy,367022,5,5A,Amerique du Nord,Etats-Unis,Tarsem Singh,"1,9",1,3,3
Green Lantern,69,Comicbook,793992,5,4A,Amerique du Nord,Etats-Unis,Martin Campbell,2,2,3,3
Hop,97,Comédie familiale,572334,5,1A,Amerique du Nord,Etats-Unis,Tim Hill,"2,1",2,3,3
Echange standard,206,Comédie,141677,5,1A,Amerique du Nord,Etats-Unis,David Dobkin,"2,1",2,3,3
(S)ex List,192,Comédie,171255,5,1A,Amerique du Nord,Etats-Unis,Mark Mylod,"2,2",2,3,3
La Nouvelle guerre des boutons,31,Comédie,1542231,5,1A,France,France,Christophe Barratier,"2,4",2,3,3
Fright Night,186,Fantasy,182702,5,5A,Amerique du Nord,Etats-Unis,Craig Gillespie,"2,4",2,3,3
Paranormal Activity 3,68,Horreur,807464,5,5A,Amerique du Nord,Etats-Unis,"Henry Joost, Ariel Schulman","2,5",2,3,3
Le Casse de Central Park,189,Comédie,175526,5,1A,Amerique du Nord,Etats-Unis,Brett Ratner,"2,8",2,3,3
Route Irish,257,Drame,67468,5,2A,Europe,Grande-Bretagne,Ken Loach,"2,8",2,3,3
Largo Winch 2,39,Aventure - Action,1350999,5,3A,France,France,Jérôme Salle,3,3,3,3
La Chance de ma vie,51,Comédie,1047705,5,1A,France,France,Nicolas Cuche,"3,1",3,3,3
Le Skylab,151,Comédie,258056,5,1A,France,France,Julie Delpy,"3,2",3,3,3
L'Art d'aimer,174,Comédie,205036,5,1A,France,France,Emmanuel Mouret,"3,2",3,3,3
"Moi, Michel G, Milliardaire, Maître du monde",235,Comédie,91364,5,1A,France,France,Stéphane Kazandjian,"3,2",3,3,3
"Bruegel, le moulin et la croix",264,Drame,59904,5,2A,Europe,Pologne,Lech Majewski,"3,2",3,3,3
Une pure affaire,199,Comédie,155196,5,1A,France,France,Alexandre Coffre,"3,3",3,3,3
La Ballade de l'Impossible,266,Drame,58430,5,2A,Asie,Japon,Tran Anh Hung,"3,3",3,3,3
La Permission de minuit,209,Drame,132378,5,2A,France,France,Delphine Gleize,"3,4",3,3,3
Sortilège,197,Fantasy,161328,5,5A,Amerique du Nord,Etats-Unis,Daniel Barnz,"1,4",1,"3,1",3
Bienvenue à bord (2011),36,Comédie,1422411,5,1A,France,France,Eric Lavaine,"1,7",1,"3,1",3
Le Chaperon Rouge,132,Fantasy,338867,5,5A,Amerique du Nord,Etats-Unis,Catherine Hardwicke,"1,9",1,"3,1",3
Sex Friends,58,Romance,943569,5,1A,Amerique du Nord,Etats-Unis,Ivan Reitman,"2,2",2,"3,1",3
La Ligne droite,221,Drame,106980,5,2A,France,France,Régis Wargnier,"2,2",2,"3,1",3
Le Flingueur (2011),149,Aventure - Action,260192,5,3A,Amerique du Nord,Etats-Unis,Simon West,"2,5",2,"3,1",3
"Et soudain, tout le monde me manque",160,Comédie dramatique,237717,5,1A,France,France,Jennifer Devoldere,"2,5",2,"3,1",3
The Thing (2011),224,Thriller,104264,5,3A,Amerique du Nord,Etats-Unis,Matthijs van Heijningen Jr.,"2,5",2,"3,1",3
La Guerre des boutons (2011),35,Comédie familiale,1480018,5,1A,France,France,Yann Samuell,"2,6",2,"3,1",3
La Conquête,79,Comédie dramatique,718641,5,1A,France,France,Xavier Durringer,"2,6",2,"3,1",3
"Johnny English, le retour",134,Comédie,328976,5,1A,Europe,Grande-Bretagne,Oliver Parker,"2,7",2,"3,1",3
L'Aigle de la Neuvième légion,167,Aventure - Action,228375,5,3A,Amerique du Nord,Etats-Unis,Kevin Macdonald,3,3,"3,1",3
Les Hommes libres,193,Thriller,170660,5,3A,France,France,Ismael Ferroukhi,3,3,"3,1",3
La Nostra vita,270,Comédie,57041,5,1A,Europe,Italie,Daniele Luchetti,3,3,"3,1",3
La Clé des champs,268,Comédie familiale,58102,5,1A,France,France,"Claude Nuridsany, Marie Pérennou","3,2",3,"3,1",3
Titeuf,41,Animation,1267605,5,4A,France,France,Zep,"3,4",3,"3,1",3
Avant l'aube,211,Thriller,129899,5,3A,France,France,Raphaël Jacoulot,"3,4",3,"3,1",3
My Little Princess,253,Drame,70929,5,2A,France,France,Eva Ionesco,"3,4",3,"3,1",3
A Dangerous Method,106,Drame,518990,5,2A,Europe,Grande-Bretagne,David Cronenberg,"3,5",3,"3,1",3
Carancho,242,Drame,86847,5,2A,Amerique du Sud,Argentine,Pablo Trapero,"3,5",3,"3,1",3
L'Apollonide Souvenirs de la maison close,177,Drame,201642,3,2A,France,France,Bertrand Bonello,"3,6",3,"3,1",3
La Fée,237,Comédie,88915,5,1A,France,France,"Dominique Abel, Fiona Gordon, Bruno Romy","3,6",3,"3,1",3
17 Filles,255,Comédie dramatique,68658,5,1A,France,France,"Muriel Coulin, Delphine Coulin","3,8",3,"3,1",3
Le Havre,98,Comédie dramatique,568768,3,1A,France,France,Aki Kaurismäki,"4,1",4,"3,1",3
Detective Dee,162,Aventure - Action,234726,5,3A,Asie,Chine,Tsui Hark,"4,1",4,"3,1",3
Dance Battle - Honey 2,140,Musical,292861,5,1A,Amerique du Nord,Etats-Unis,Bille Woodruff,"1,8",1,"3,2",3
Le Mytho,155,Romance,250499,5,1A,Amerique du Nord,Etats-Unis,Dennis Dugan,"1,8",1,"3,2",3
Killer Elite,159,Thriller,238066,5,3A,Amerique du Nord,Etats-Unis,Gary McKendry,"2,1",2,"3,2",3
Colombiana,93,Aventure - Action,607711,5,3A,France,France,Olivier Megaton,"2,2",2,"3,2",3
Switch (2011),145,Thriller,274862,5,3A,France,France,Frédéric Schoendoerffer,"2,2",2,"3,2",3
Les Mythos,245,Comédie,82357,5,1A,France,France,Denis Thybaud,"2,4",2,"3,2",3
M. Popper et ses pingouins,73,Comédie familiale,762056,5,1A,Amerique du Nord,Etats-Unis,Mark Waters,"2,5",2,"3,2",3
Les Schtroumpfs,12,Animation 3D,2773800,5,4A,Amerique du Nord,Etats-Unis,Raja Gosnell,"2,6",2,"3,2",3
Comment tuer son Boss?,67,Comédie,814141,5,1A,Amerique du Nord,Etats-Unis,Seth Gordon,"2,6",2,"3,2",3
Qui a envie d'être aimé?,222,Comédie,106195,5,1A,France,France,Anne Giafferi,"2,8",2,"3,2",3
Destination finale 5,57,Horreur,956967,5,5A,Amerique du Nord,Etats-Unis,Steven Quale,"2,9",2,"3,2",3
Happy Feet 2,90,Animation 3D,630013,5,4A,Amerique du Nord,Etats-Unis,George Miller,"2,9",2,"3,2",3
Je n'ai rien oublié,180,Thriller,196999,5,3A,France,France,Bruno Chiche,"2,9",2,"3,2",3
The Prodigies,205,Animation 3D,144536,5,4A,France,France,Antoine Charreyron,"2,9",2,"3,2",3
Case départ,26,Comédie,1799957,5,1A,France,France,"Thomas Ngijol, Fabrice Eboué, Lionel Steketee",3,3,"3,2",3
Les Yeux de sa mère,173,Comédie dramatique,206415,5,1A,France,France,Thierry Klifa,3,3,"3,2",3
Morning Glory,170,Comédie,218438,5,1A,Amerique du Nord,Etats-Unis,Roger Michell,"3,1",3,"3,2",3
Où va la nuit,213,Drame,120421,5,2A,France,France,Martin Provost,"3,2",3,"3,2",3
L'Ours Montagne,226,Animation,103785,5,4A,Europe,Danemark,Esben Toft Jacobsen,"3,2",3,"3,2",3
Scream 4,48,Horreur,1070890,5,5A,Amerique du Nord,Etats-Unis,Wes Craven,"3,3",3,"3,2",3
The Green Hornet (2011),75,Aventure - Action,734464,5,3A,Amerique du Nord,Etats-Unis,Michel Gondry,"3,4",3,"3,2",3
Poulet aux prunes,156,Comédie dramatique,249369,5,1A,France,France,"Marjane Satrapi, Vincent Paronnaud","3,4",3,"3,2",3
De bon matin,202,Drame,147011,5,2A,France,France,Jean-Marc Moutout,"3,5",3,"3,2",3
Mes meilleures amies,100,Comédie,557712,5,1A,Amerique du Nord,Etats-Unis,Paul Feig,"3,8",3,"3,2",3
Winnie l'ourson,172,Animation,210516,5,4A,Amerique du Nord,Etats-Unis,"Stephen J. Anderson, Don Hall",4,4,"3,2",3
Numéro quatre,82,Science Fiction,688858,5,5A,Amerique du Nord,Etats-Unis,D.J. Caruso,"1,9",1,"3,3",3
Pirates des Caraïbes: la Fontaine de Jouvence,5,Aventure - Action,4755981,4,3A,Amerique du Nord,Etats-Unis,Rob Marshall,"2,5",2,"3,3",3
Or Noir,171,Aventure - Action,215640,5,3A,France,France,Jean-Jacques Annaud,"2,6",2,"3,3",3
Time Out,47,Science Fiction,1099016,5,5A,Amerique du Nord,Etats-Unis,Andrew Niccol,"2,7",2,"3,3",3
Sans identité,53,Thriller,1003434,5,3A,Amerique du Nord,Etats-Unis,Jaume Collet-Serra,"2,7",2,"3,3",3
Killing Bono,260,Comédie,65304,5,1A,Amerique du Nord,Etats-Unis,Nick Hamm,"2,7",2,"3,3",3
Hanna,244,Aventure - Action,83450,5,3A,Amerique du Nord,Etats-Unis,Joe Wright,"2,8",2,"3,3",3
L'Agence,84,Science Fiction,677078,5,5A,Amerique du Nord,Etats-Unis,George Nolfi,3,3,"3,3",3
Never Let Me Go,251,Drame,74594,5,2A,Amerique du Nord,Etats-Unis,Mark Romanek,3,3,"3,3",3
Des vents contraires,133,Drame,334853,5,2A,France,France,Jalil Lespert,"3,1",3,"3,3",3
Insidious,116,Horreur,459705,5,5A,Amerique du Nord,Etats-Unis,James Wan,"3,2",3,"3,3",3
Captain America – First Avenger,49,Comicbook,1061166,5,4A,Amerique du Nord,Etats-Unis,Joe Johnston,"3,3",3,"3,3",3
