grant_title,id,organization,total_amount,group,start_year,pays,pays1,real,presse,pressesimp,spect,spectsimp
Même la pluie,166,Drame,228407,5,2A,Europe,Espagne,Icíar Bollaín,"3,2",3,"3,8",3
"Arrietty, le petit monde des chapardeurs",59,Animation,934073,5,4A,Asie,Japon,Hiromasa Yonebayashi,"3,7",3,"3,8",3
La Peau que j'habite,76,Drame,733758,5,2A,Europe,Espagne,Pedro Almodóvar,"3,7",3,"3,8",3
L'Etrangère,258,Drame,67394,5,2A,Europe,Allemagne,Feo Aladag,"3,7",3,"3,8",3
Le Tableau,139,Animation,293195,5,4A,France,France,Jean-François Laguionie,"4,1",4,"3,8",3
Drive,30,Aventure - Action,1580623,2,3A,Amerique du Nord,Etats-Unis,Nicolas Winding Refn,"4,4",4,"3,8",3
Pollen,228,Documentaire,102762,5,6A,Amerique du Nord,Etats-Unis,Louie Schwartzberg,"3,1",3,"3,9",3
La Planète des singes: les origines,8,Science Fiction,3240118,5,5A,Amerique du Nord,Etats-Unis,Rupert Wyatt,"3,2",3,"3,9",3
Le Gruffalo,250,Animation 3D,75895,5,4A,Europe,Grande-Bretagne,"Jakob Schuh, Max Lang","3,4",3,"3,9",3
X-Men Le commencement,24,Comicbook,2096575,5,4A,Amerique du Nord,Etats-Unis,Matthew Vaughn,"3,6",3,"3,9",3
Fighter,142,Drame,286479,5,2A,Amerique du Nord,Etats-Unis,David O. Russell,"3,9",3,"3,9",3
The Artist,9,Comédie dramatique,3062903,2,1A,France,France,Michel Hazanavicius,"4,1",4,"3,9",3
Présumé coupable,122,Drame,406436,2,2A,France,France,Vincent Garenq,"3,6",3,4,4
Et maintenant on va où?,124,Drame,379094,5,2A,France,France,Nadine Labaki,"3,7",3,4,4
Harry Potter et les reliques de la mort - partie 2,3,Fantasy,6512424,5,5A,Amerique du Nord,Etats-Unis,David Yates,"3,8",3,4,4
Black Swan,15,Thriller,2617032,5,3A,Amerique du Nord,Etats-Unis,Darren Aronofsky,"4,1",4,4,4
Tous au Larzac,188,Documentaire,175926,5,6A,France,France,Christian Rouaud,"4,1",4,4,4
Une Séparation,56,Drame,976191,5,2A,Asie,Iran,Asghar Farhadi,"4,6",4,4,4
La Couleur des sentiments,91,Drame,619458,5,2A,Amerique du Nord,Etats-Unis,Tate Taylor,"2,6",2,"4,1",4
Polisse,19,Drame,2414418,2,2A,France,France,Maïwenn,"3,7",3,"4,1",4
Incendies,137,Drame,303239,5,2A,France,France,Denis Villeneuve,"3,8",3,"4,1",4
Le Discours d'un roi,10,Drame,3024322,5,2A,Europe,Grande-Bretagne,Tom Hooper,4,4,"4,1",4
Warrior,181,Aventure - Action,196439,5,3A,Amerique du Nord,Etats-Unis,Gavin O'Connor,"3,6",3,"4,2",4
Welcome in Vienna,252,Drame,74503,5,2A,Europe,Suisse,Axel Corti,"4,7",4,"4,4",4
Intouchables,1,Comédie,19385171,5,1A,France,France,"Eric Toledano, Olivier Nakache","3,7",3,"4,5",4
Chico & Rita,232,Animation,95886,5,4A,France,France,Marite Ugas,_,_,_,_
Born to Be Wild,241,Documentaire,87466,5,6A,Amerique du Nord,Etats-Unis,David Lickley,_,_,_,_
Rhum Express,247,Aventure - Action,78827,5,3A,Amerique du Nord,Etats-Unis,Aku Louhimies,_,_,_,_
